lat,lon,Address,Station_Name,Fuel Type
32.367916,-86.267021,2951 Chestnut St,Spire - Montgomery Operations Center,CNG
33.745843,-84.398837,340 Whitehall St,PS Energy - Atlanta,CNG
33.821911,-84.367461,2424 Piedmont Rd NE,Metropolitan Atlanta Rapid Transit Authority,CNG
33.760256,-84.543822,270 Marvin Miller Dr,United Parcel Service,CNG
29.779918,-95.435385,7721A Washington St,Clean Energy - Texas Department of Transportation,CNG
35.362213,-94.375338,2100 S Waldron Rd,Arkansas Oklahoma Gas Corp,CNG
42.37470554648246,-71.02654860574343,1000 Cottage St Ext,Clean Energy - Logan International Airport,CNG
42.393167,-71.064352,16 Rover St,Clean Energy - Everett - National Grid,CNG
40.718037,-73.932309,287 Maspeth Ave,Clean Energy - Greenpoint - National Grid,CNG
40.64554,-73.918344,8424 Ditmas Ave,Canarsie - National Grid,CNG
39.795998,-86.169223,2150 Dr Martin Luther King Jr St,Langsdale Facility - Citizens Energy Group,CNG
39.736169,-86.161743,111 W Raymond St,CNG Source Fueling - Greene's Auto & Truck Service,CNG
41.736894,-72.660257,131 Brainard Rd,Shell,CNG
30.471166,-91.087975,8968 S Choctaw Dr,Sparq - Baton Rouge,CNG
35.65758,-105.993406,2931 Rufina St,Clean Energy - City of Santa Fe - Santa Fe Trails Transit,CNG
38.966292,-94.715917,11401 W 89th St,Kansas Gas Service,CNG
43.599179,-116.276042,555 S Cole Rd,Intermountain Gas Co,CNG
42.949867,-112.468069,12584 W Tyhee Rd,Intermountain Gas Co,CNG
43.509729,-112.007445,1527 Hollipark Dr,Intermountain Gas Co,CNG
43.615117,-116.618458,2921 Caldwell Blvd,Intermountain Gas Co,CNG
43.559171,-116.241498,4701 Northrup St,ValleyRide,CNG
39.058754,-95.667854,200 E 1st Ave,Kansas Gas Service,CNG
38.598601,-90.323574,4118 Shrewsbury Ave,Spire - Shrewsbury,CNG
40.785664,-73.219818,1650 Islip Ave,Clean Energy - Brentwood - National Grid,CNG
40.766799,-73.509603,175 E Old Country Rd,Clean Energy - Hicksville - National Grid,CNG
32.817883,-96.988716,128 N Briery Rd,Clean Energy - City of Irving,CNG
32.76662,-96.807086,801 S Riverfront Blvd,Clean Energy - Downtown Dallas,CNG
32.89683,-96.68401,3526 Security St,Clean Energy - Garland Independent School District,CNG
40.599413,-111.993532,8370 S 4300 W,Jordan School District,CNG
40.764976,-111.922291,1150 W 200 S,Questar Gas - Salt Lake City,CNG
40.767168,-111.921952,1078 W 100 S,Salt Lake Operations Center,CNG
40.703021,-111.922753,3148 S 1100 W,Salt Lake County Oxbow Prison,CNG
41.734633,-111.861488,1050 W 200 N,Questar Gas - LW's Conoco,CNG
39.586805,-110.813433,850 S Carbon Ave,Dominion Energy - Market Express Sinclair,CNG
38.786621,-112.084147,1375 N Main St,Questar Gas - Chevron,CNG
37.69344,-113.094441,946 N Production Rd,Enterprise Station,CNG
